FIPS,GEO_ID,NAME,B19013_001E
13225,0500000US13225,"Peach County, Georgia",50267
13227,0500000US13227,"Pickens County, Georgia",68365
13229,0500000US13229,"Pierce County, Georgia",48969
13231,0500000US13231,"Pike County, Georgia",68138
13233,0500000US13233,"Polk County, Georgia",46846
13235,0500000US13235,"Pulaski County, Georgia",42213
13237,0500000US13237,"Putnam County, Georgia",52910
13239,0500000US13239,"Quitman County, Georgia",34394
13241,0500000US13241,"Rabun County, Georgia",44871
13243,0500000US13243,"Randolph County, Georgia",29400
13245,0500000US13245,"Richmond County, Georgia",43882
13247,0500000US13247,"Rockdale County, Georgia",62505
13249,0500000US13249,"Schley County, Georgia",49105
13251,0500000US13251,"Screven County, Georgia",39852
13253,0500000US13253,"Seminole County, Georgia",35286
13255,0500000US13255,"Spalding County, Georgia",48970
13257,0500000US13257,"Stephens County, Georgia",46766
13259,0500000US13259,"Stewart County, Georgia",34028
13261,0500000US13261,"Sumter County, Georgia",37174
13263,0500000US13263,"Talbot County, Georgia",40020
13265,0500000US13265,"Taliaferro County, Georgia",37717
13267,0500000US13267,"Tattnall County, Georgia",44053
13269,0500000US13269,"Taylor County, Georgia",28550
13271,0500000US13271,"Telfair County, Georgia",32764
13273,0500000US13273,"Terrell County, Georgia",35335
13275,0500000US13275,"Thomas County, Georgia",47133
13277,0500000US13277,"Tift County, Georgia",44827
13279,0500000US13279,"Toombs County, Georgia",41244
13281,0500000US13281,"Towns County, Georgia",51257
13283,0500000US13283,"Treutlen County, Georgia",32072
13285,0500000US13285,"Troup County, Georgia",46796
13287,0500000US13287,"Turner County, Georgia",34514
13289,0500000US13289,"Twiggs County, Georgia",43477
13291,0500000US13291,"Union County, Georgia",49703
13293,0500000US13293,"Upson County, Georgia",39221
13295,0500000US13295,"Walker County, Georgia",46601
13297,0500000US13297,"Walton County, Georgia",65491
13299,0500000US13299,"Ware County, Georgia",37041
13301,0500000US13301,"Warren County, Georgia",38250
13303,0500000US13303,"Washington County, Georgia",36402
13305,0500000US13305,"Wayne County, Georgia",45773
13307,0500000US13307,"Webster County, Georgia",31629
13309,0500000US13309,"Wheeler County, Georgia",28864
13311,0500000US13311,"White County, Georgia",55788
13313,0500000US13313,"Whitfield County, Georgia",50055
13315,0500000US13315,"Wilcox County, Georgia",39216
13317,0500000US13317,"Wilkes County, Georgia",36486
13319,0500000US13319,"Wilkinson County, Georgia",36896
13321,0500000US13321,"Worth County, Georgia",50913
15001,0500000US15001,"Hawaii County, Hawaii",65401
15003,0500000US15003,"Honolulu County, Hawaii",87722
15005,0500000US15005,"Kalawao County, Hawaii",76465
15007,0500000US15007,"Kauai County, Hawaii",82818
